UID,大类,小类,关注视频log2归一化
,129,200,0.030281408
,36,201,0.097763349
,202,202,0
,202,203,0
,202,204,0
,202,205,0
,202,206,0
,36,207,0.03466564
,36,208,0.033999223
,36,209,0.046973734
,1,210,0.017536926
,211,211,0
,211,212,0.070048096
,211,213,0.114710257
,211,214,0
,211,215,0.028870001
,119,216,0.044179094
,217,217,0
,217,218,0.117766821
,217,219,0.011333074
,217,220,0.004384232
,217,221,0.042120761
,217,222,0.039010215
,223,223,0
,223,224,0.012308094
,223,225,0
,223,226,0
,223,227,0.008768463
,36,228,0.13132982
,36,229,0.008768463
,188,230,0.008768463
,188,231,0.006948843
,188,232,0.013152695
,188,233,0.004384232
,234,234,0
,234,235,0.032101029
,234,236,0.015717306
,234,237,0.020101538
,234,238,0.027716797
,160,239,0.21982242
,1,1,0
,3,3,0
,4,4,0
,5,5,0
,11,11,0
,13,13,0
,4,17,0.620234819
,4,19,0
,129,20,0.034599815
,160,21,1
,119,22,0.169529566
,23,23,0
,1,24,0.170746708
,1,25,0.043245523
,119,26,0.032348091
,1,27,0.470021431
,3,28,0.286425235
,3,29,0.083885802
,3,30,0.037566994
,3,31,0.249212821
,13,32,0.662326478
,13,33,0.740668019
,36,36,0
,177,37,0.052411459
,1,47,0.236074679
,13,51,0.096553254
,3,59,0.184229151
,4,65,0.309020453
,5,71,0.175634122
,217,75,0.047062383
,211,76,0.133933278
,23,83,0.057835246
,181,85,0.060190103
,1,86,0.024439274
,188,95,0.09734966
,119,119,0
,4,121,0.01312772
,36,122,0.218685526
,36,124,0.358036092
,119,126,0.108175351
,119,127,0.006935648
,129,129,0
,3,130,0.148610104
,4,136,0.015687461
,5,137,0.041942901
,160,138,0.694730419
,23,145,0.120262922
,23,146,0.081298063
,23,147,0.108658661
,13,152,0.130391023
,167,153,0.074041273
,129,154,0.03938316
,155,155,0
,129,156,0
,155,157,0.123561105
,155,158,0.07184299
,155,159,0
,160,160,0
,160,161,0.069864781
,160,162,0.037566994
,234,164,0.123147582
,167,167,0
,167,168,0.140609948
,167,169,0
,167,170,0.030223908
,4,171,0.669518837
,4,172,0.409355377
,4,173,0.135676649
,223,176,0.075699719
,177,177,0
,177,178,0.01312772
,177,179,0.008751813
,177,180,0.055814197
,181,181,0
,181,182,0.241588132
,181,183,0.101176255
,181,184,0.041942901
,11,185,0
,11,187,0
,188,188,0
,155,192,0
,3,193,0.071759371
,3,194,0
,167,195,0.0591757
,129,198,0.004375907
,129,199,0.006935648
,129,200,0
,36,201,0.276425198
,202,202,0
,202,203,0.320985181
,202,204,0.17688516
,202,205,0.32278032
,202,206,0.194841581
,36,207,0.059640792
,36,208,0.26398693
,36,209,0.099830976
,1,210,0.033191088
,211,211,0
,211,212,0.176492318
,211,213,0.193230648
,211,214,0.027664167
,211,215,0.069447234
,119,216,0.073218402
,217,217,0
,217,218,0.094789918
,217,219,0.027664167
,217,220,0.02328826
,217,221,0.02625544
,217,222,0
,223,223,0
,223,224,0
,223,225,0.004375907
,223,226,0.004375907
,223,227,0
,36,228,0.254169544
,36,229,0.072632546
,188,230,0.01312772
,188,231,0.008751813
,188,232,0.061737586
,188,233,0.058373938
,234,234,0
,234,235,0.110013574
,234,236,0.073575537
,234,237,0.017503627
,234,238,0.040126736
,160,239,0.229041421
,1,1,0
,3,3,0
,4,4,0
,5,5,0
,11,11,0
,13,13,0
,4,17,0
,4,19,0
,129,20,0
,160,21,0.52640575
,119,22,0.013613668
,23,23,0
,1,24,0
,1,25,0
,119,26,0
,1,27,0.097608981
,3,28,0.013613668
,3,29,0.123568757
,3,30,0.021577154
,3,31,0.013613668
,13,32,0
,13,33,0
,36,36,0
,177,37,0.013613668
,1,47,0.064731462
,13,51,0
,3,59,0.027227337
,4,65,0
,5,71,0.066800781
,217,75,0.013613668
,211,76,0.040841005
,23,83,0
,181,85,0.136741051
,1,86,0
,188,95,0.048804491
,119,119,0
,4,121,0
,36,122,0.481155653
,36,124,0.626763019
,119,126,0
,119,127,0.021577154
,129,129,0
,3,130,0.124212762
,4,136,0
,5,137,0.062418159
,160,138,0.20963339
,23,145,0
,23,146,0
,23,147,0
,13,152,0
,167,153,0
,129,154,0
,155,155,0
,129,156,0
,155,157,0
,155,158,0.013613668
,155,159,0
,160,160,0
,160,161,0.021577154
,160,162,0.013613668
,234,164,0
,167,167,0
,167,168,0
,167,169,0
,167,170,0.013613668
,4,171,0
,4,172,0
,4,173,0.092673072
,223,176,0
,177,177,0
,177,178,0.013613668
,177,179,0
,177,180,0
,181,181,0
,181,182,0.040841005
,181,183,0.39752307
,181,184,0.040841005
,11,185,0
,11,187,0
,188,188,0
,155,192,0
,3,193,0.107885769
,3,194,0
,167,195,0
,129,198,0
,129,199,0
,129,200,0
,36,201,0.297883612
,202,202,0
,202,203,0.238736787
,202,204,0.031609959
,202,205,0.056767976
,202,206,0
,36,207,0.234081623
,36,208,1
,36,209,0.189928164
,1,210,0
,211,211,0
,211,212,0.013613668
,211,213,0
,211,214,0
,211,215,0.013613668
,119,216,0
,217,217,0
,217,218,0
,217,219,0
,217,220,0
,217,221,0
,217,222,0
,223,223,0
,223,224,0
,223,225,0
,223,226,0
,223,227,0
,36,228,0.471546834
,36,229,0.076436798
,188,230,0.040841005
,188,231,0.130177197
,188,232,0.027227337
,188,233,0.013613668
,234,234,0
,234,235,0
,234,236,0.027227337
,234,237,0
,234,238,0.013613668
,160,239,0.136516587
,1,1,0
,3,3,0
,4,4,0
,5,5,0
,11,11,0
,13,13,0
,4,17,0.904049784
,4,19,0
,129,20,0.043765254
,160,21,0.878136863
,119,22,0.048457445
,23,23,0
,1,24,0.051005524
,1,25,0.047434898
,119,26,0.01040647
,1,27,0.353343616
,3,28,0.08273943
,3,29,0.061473613
,3,30,0.068806448
,3,31,0.19344319
,13,32,0.065109351
,13,33,0.101440679
,36,36,0
,177,37,0.010212682
,1,47,0.116490991
,13,51,0.0800527
,3,59,0.062553525
,4,65,0.683043874
,5,71,0.069549904
,217,75,0.056763573
,211,76,0.083418261
,23,83,0
,181,85,0.093846105
,1,86,0.016140201
,188,95,0.469679984
,119,119,0
,4,121,0.030194985
,36,122,0.18098651
,36,124,0.263075105
,119,126,0.014922722
,119,127,0
,129,129,0
,3,130,0.082976771
,4,136,0.031172122
,5,137,0.044351285
,160,138,0.36834346
,23,145,0
,23,146,0
,23,147,0
,13,152,0.015385586
,167,153,0
,129,154,0.043112434
,155,155,0
,129,156,0.002081294
,155,157,0.016650352
,155,158,0.049090171
,155,159,0.007461361
,160,160,0
,160,161,0.069747556
,160,162,0.091854174
,234,164,0.013705243
,167,167,0
,167,168,0.035688374
,167,169,0
,167,170,0.003298773
,4,171,1
,4,172,0.405442474
,4,173,0.200726035
,223,176,0.104302683
,177,177,0
,177,178,0.008325176
,177,179,0.017004016
,177,180,0.006243882
,181,181,0
,181,182,0.118774346
,181,183,0.062537075
,181,184,0.110082294
,11,185,0
,11,187,0
,188,188,0
,155,192,0
,3,193,0.05132841
,3,194,0
,167,195,0.006597546
,129,198,0.004162588
,129,199,0.02348824
,129,200,0.014168107
,36,201,0.239938433
,202,202,0
,202,203,0.044101973
,202,204,0.02492824
,202,205,0.143284934
,202,206,0.01552527
,36,207,0.06820888
,36,208,0.076872574
,36,209,0.061021659
,1,210,0.060702195
,211,211,0
,211,212,0.040411789
,211,213,0.079076443
,211,214,0.032723784
,211,215,0.048029637
,119,216,0.015786537
,217,217,0
,217,218,0.097219203
,217,219,0.047692349
,217,220,0.015385586
,217,221,0.042928638
,217,222,0.004162588
,223,223,0
,223,224,0.023370473
,223,225,0.011623949
,223,226,0.024587952
,223,227,0.010675546
,36,228,0.187102828
,36,229,0.013157791
,188,230,0.091593991
,188,231,0.072293709
,188,232,0.11033242
,188,233,0.014922722
,234,234,0
,234,235,0.029036725
,234,236,0.013157791
,234,237,0.023601561
,234,238,0.028737164
,160,239,0.146664419
,1,1,0
,3,3,0
,4,4,0
,5,5,0
,11,11,0
,13,13,0
,4,17,0.312311423
,4,19,0
,129,20,0.045992913
,160,21,1
,119,22,0.037162213
,23,23,0
,1,24,0.091505435
,1,25,0.023242306
,119,26,0
,1,27,0.342455506
,3,28,0.244418817
,3,29,0.245906642
,3,30,0.026704507
,3,31,0.287555802
,13,32,0
,13,33,0
,36,36,0
,177,37,0.116645201
,1,47,0.110679523
,13,51,0.023242306
,3,59,0.324675864
,4,65,0.21582427
,5,71,0.203247566
,217,75,0.0889284
,211,76,0.315692343
,23,83,0
,181,85,0.118031445
,1,86,0
,188,95,0.198052438
,119,119,0
,4,121,0.004002219
,36,122,0.182747821
,36,124,0.245845595
,119,126,0.020011095
,119,127,0.010345586
,129,129,0
,3,130,0.284633205
,4,136,0
,5,137,0.117242643
,160,138,0.345767812
,23,145,0
,23,146,0
,23,147,0
,13,152,0.032555755
,167,153,0
,129,154,0.053997351
,155,155,0
,129,156,0.004002219
,155,157,0.068807321
,155,158,0.041990694
,155,159,0.008004438
,160,160,0
,160,161,0
,160,162,0.075945589
,234,164,0.05799957
,167,167,0
,167,168,0.058946065
,167,169,0
,167,170,0.031645108
,4,171,0.478377039
,4,172,0.15173321
,4,173,0.245857353
,223,176,0.143726735
,177,177,0
,177,178,0.093836194
,177,179,0.020691172
,177,180,0.12163983
,181,181,0
,181,182,0.09293969
,181,183,0.304566609
,181,184,0.087007363
,11,185,0
,11,187,0
,188,188,0
,155,192,0
,3,193,0.111087654
,3,194,0
,167,195,0.046117857
,129,198,0.008004438
,129,199,0.014347805
,129,200,0.004002219
,36,201,0.235807221
,202,202,0
,202,203,0.082191773
,202,204,0.009292865
,202,205,0.077220938
,202,206,0.046882976
,36,207,0.039649546
,36,208,0.375191236
,36,209,0.036327404
,1,210,0.062891852
,211,211,0
,211,212,0.15935702
,211,213,0.130277625
,211,214,0.112151766
,211,215,0.118575993
,119,216,0.004002219
,217,217,0
,217,218,0.097600797
,217,219,0.058930729
,217,220,0.004002219
,217,221,0.028105054
,217,222,0
,223,223,0
,223,224,0.012006657
,223,225,0
,223,226,0
,223,227,0.004002219
,36,228,0.195621147
,36,229,0.036019971
,188,230,0.032535171
,188,231,0.037217467
,188,232,0.048440008
,188,233,0.041052312
,234,234,0
,234,235,0.43056471
,234,236,0.174798576
,234,237,0.024851592
,234,238,0.159628305
,160,239,0.289664128
,1,1,0
,3,3,0
,4,4,0
,5,5,0
,11,11,0
,13,13,0
,4,17,0.502164957
,4,19,0
,129,20,0.017488731
,160,21,1
,119,22,0.032123806
,23,23,0
,1,24,0.022367089
,1,25,0.004878358
,119,26,0
,1,27,0.116475101
,3,28,0.029270149
,3,29,0.130672631
,3,30,0.016205555
,3,31,0.09170963
,13,32,0
,13,33,0
,36,36,0
,177,37,0.009756716
,1,47,0.048329361
,13,51,0
,3,59,0.053771058
,4,65,0.327277006
,5,71,0.140087559
,217,75,0.072016187
,211,76,0.191172963
,23,83,0
,181,85,0.133147769
,1,86,0.004878358
,188,95,0.218190086
,119,119,0
,4,121,0.037002164
,36,122,0.094768358
,36,124,0.239069342
,119,126,0
,119,127,0.004878358
,129,129,0
,3,130,0.132957745
,4,136,0.01546403
,5,137,0.335520717
,160,138,0.408510551
,23,145,0
,23,146,0
,23,147,0
,13,152,0
,167,153,0.004878358
,129,154,0.044734179
,155,155,0
,129,156,0.007732015
,155,157,0.259592667
,155,158,0.627821169
,155,159,0.151035289
,160,160,0
,160,161,0.014635075
,160,162,0.004878358
,234,164,0.198701104
,167,167,0
,167,168,0.024391791
,167,169,0
,167,170,0
,4,171,0.517317117
,4,172,0.195337772
,4,173,0.120386756
,223,176,0.077145289
,177,177,0
,177,178,0.004878358
,177,179,0
,177,180,0.009756716
,181,181,0
,181,182,0.074335483
,181,183,0.06222291
,181,184,0.032123806
,11,185,0
,11,187,0
,188,188,0
,155,192,0
,3,193,0.097068126
,3,194,0
,167,195,0
,129,198,0.025220746
,129,199,0.118952115
,129,200,0
,36,201,0.131781303
,202,202,0
,202,203,0.028330358
,202,204,0.025220746
,202,205,0.043681777
,202,206,0.024818466
,36,207,0.121291434
,36,208,0.176679501
,36,209,0.082026579
,1,210,0.014635075
,211,211,0
,211,212,0.429371305
,211,213,0.211689901
,211,214,0.042167827
,211,215,0.124553601
,119,216,0.004878358
,217,217,0
,217,218,0.13142408
,217,219,0.064587504
,217,220,0.007732015
,217,221,0.019513433
,217,222,0
,223,223,0
,223,224,0
,223,225,0.004878358
,223,226,0
,223,227,0
,36,228,0.142103077
,36,229,0.031511421
,188,230,0.043362474
,188,231,0.009756716
,188,232,0.024391791
,188,233,0.01546403
,234,234,0
,234,235,0.15433831
,234,236,0.083650208
,234,237,0.161576565
,234,238,0.086565656
,160,239,0.432645329
,1,1,0
,3,3,0
